Indi,ICod,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,sum_NA
Education,SE.PRM.ENRR.MA,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.4166666666666667,0.25,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.5,0.4166666666666667,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,9.166666666666666
Education,SE.PRM.GINT.FE.ZS,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.75,0.75,0.8333333333333334,0.6666666666666666,0.75,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5,0.5,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5833333333333334,20.333333333333336
Education,SE.PRM.GINT.MA.ZS,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.75,0.75,0.8333333333333334,0.6666666666666666,0.75,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5,0.5,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5833333333333334,20.333333333333336
Education,SE.PRM.GINT.ZS,0.5,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.25,0.5,0.25,0.3333333333333333,0.4166666666666667,0.5,0.5,0.5,0.5,0.4166666666666667,0.5,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5,0.4166666666666667,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5833333333333334,16.583333333333336
Education,SE.PRM.NENR,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.5833333333333334,0.75,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,23.416666666666664
Education,SE.PRM.NENR.FE,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.75,0.75,0.75,0.6666666666666666,0.75,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.75,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4166666666666667,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.75,33.08333333333333
Education,SE.PRM.NENR.MA,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.75,0.75,0.75,0.6666666666666666,0.75,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.75,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.4166666666666667,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.75,33.08333333333333
Education,SE.PRM.NINT.FE.ZS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.75,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.5833333333333334,0.5,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,38.916666666666664
Education,SE.PRM.NINT.MA.ZS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.75,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.5833333333333334,0.5,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,38.916666666666664
Education,SE.PRM.NINT.ZS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.75,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.5833333333333334,0.5,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,38.916666666666664
Education,SE.PRM.OENR.FE.ZS,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.75,0.75,0.75,0.6666666666666666,0.75,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5833333333333334,26.58333333333333
Education,SE.PRM.OENR.MA.ZS,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.75,0.75,0.75,0.6666666666666666,0.75,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5833333333333334,26.58333333333333
Education,SE.PRM.OENR.ZS,0.6666666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.75,0.5833333333333334,0.75,0.5833333333333334,0.6666666666666666,0.75,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5833333333333334,23.0
Education,SE.PRM.PRIV.ZS,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5,0.6666666666666666,0.75,0.9166666666666666,1.0,1.0,0.75,0.5,0.5,0.6666666666666666,0.5,0.4166666666666667,0.5,0.5,0.4166666666666667,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5833333333333334,0.5,0.5833333333333334,0.5,0.4166666666666667,0.25,0.16666666666666666,0.08333333333333333,0.25,0.25,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5833333333333334,19.5
Education,SE.PRM.PRS5.FE.ZS,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.75,0.5,0.6666666666666666,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.75,0.75,0.75,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.75,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.8333333333333334,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,28.083333333333336
Education,SE.PRM.PRS5.MA.ZS,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.75,0.5,0.6666666666666666,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.75,0.75,0.75,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.75,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.8333333333333334,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,28.083333333333336
Education,SE.PRM.PRS5.ZS,0.5833333333333334,0.5,0.3333333333333333,0.3333333333333333,0.5,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.5,0.4166666666666667,0.5,0.5,0.5833333333333334,0.5,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.6666666666666666,1.0,23.583333333333336
